,Caracteristique_du_site,Adresse,Code_postal,Localite,Latitude,Longitude,Numero_de_telephone
241,Agence postale communale,7 LE BOURG OUEST,33430,CUDOS,"44,38896","-0,22015",3631
242,Agence postale communale,34 AVENUE DU HAUT MEDOC,33460,CUSSAC FORT MEDOC,"45,111997","-0,730454",3631
243,Agence postale communale,1 RUE RIBEYREAU,33420,ESPIET,"44,801192","-0,262985",3631
244,Agence postale communale,10 ROUTE DU CANTON,33220,EYNESSE,"44,822494","0,149898",3631
245,Bureau de Poste,1 PLACE DE LA MEDOQUI,33710,GAURIAC,"45,063991","-0,617681",3631
246,Relais poste commerçant,146 ROUTE DE SAINT QUENTIN,33420,GENISSAC,"44,858205","-0,257895",3631
247,Bureau de Poste,1 ROUTE DE LEOGNAN,33170,GRADIGNAN,"44,772395","-0,613848",3631
248,Bureau de Poste,25 PLACE DE L EGLISE,33990,HOURTIN,"45,186147","-1,058282",3631
249,Agence postale communale,6 LE BOURG,33720,ILLATS,"44,596145","-0,374166",3631
250,Bureau de Poste,2 RUE PRINCIPALE,33460,LAMARQUE,"45,095951","-0,715919",3631
251,Agence postale communale,2 LIEU DIT LAMARTINE,33710,LANSAC,"45,061394","-0,54191",3631
252,Bureau de Poste,8 AVENUE DE LA LIBERATION,33138,LANTON,"44,701537","-1,03375",3631
253,Bureau de Poste,2 RUE LOUISE MICHEL,33850,LEOGNAN,"44,728895","-0,600054",3631
254,Agence postale communale,42 AVENUE JEAN JAURES,33240,LUGON ET L ILE DU CARNAY,"44,95532","-0,34712",3631
